aspect,judge_a,judge_b,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value,p_holm,sig_holm
faithfulness,gpt-5.4,gemini-3.1-pro,3.473,4.41,-0.938,2081.0,0.0,0.0,True
faithfulness,gpt-5.4,claude-sonnet-4.6,3.473,3.721,-0.248,737.0,0.0,0.0,True
faithfulness,gpt-5.4,grok-4.20,3.473,3.608,-0.135,11639.0,0.112831,0.225662,False
faithfulness,gemini-3.1-pro,claude-sonnet-4.6,4.41,3.721,0.69,3903.0,0.0,0.0,True
faithfulness,gemini-3.1-pro,grok-4.20,4.41,3.608,0.802,633.5,0.0,0.0,True
faithfulness,claude-sonnet-4.6,grok-4.20,3.721,3.608,0.112,11926.0,0.472285,0.472285,False
helpfulness,gpt-5.4,gemini-3.1-pro,3.192,4.596,-1.404,0.0,0.0,0.0,True
helpfulness,gpt-5.4,claude-sonnet-4.6,3.192,3.521,-0.329,615.0,0.0,0.0,True
helpfulness,gpt-5.4,grok-4.20,3.192,4.796,-1.604,366.0,0.0,0.0,True
helpfulness,gemini-3.1-pro,claude-sonnet-4.6,4.596,3.521,1.075,0.0,0.0,0.0,True
helpfulness,gemini-3.1-pro,grok-4.20,4.596,4.796,-0.2,732.5,1e-06,1e-06,True
helpfulness,claude-sonnet-4.6,grok-4.20,3.521,4.796,-1.275,961.5,0.0,0.0,True
plausibility,gpt-5.4,gemini-3.1-pro,3.367,4.296,-0.929,139.0,0.0,0.0,True
plausibility,gpt-5.4,claude-sonnet-4.6,3.367,3.408,-0.042,1282.0,0.292215,0.292215,False
plausibility,gpt-5.4,grok-4.20,3.367,4.717,-1.35,948.5,0.0,0.0,True
plausibility,gemini-3.1-pro,claude-sonnet-4.6,4.296,3.408,0.888,210.0,0.0,0.0,True
plausibility,gemini-3.1-pro,grok-4.20,4.296,4.717,-0.421,1681.0,0.0,0.0,True
plausibility,claude-sonnet-4.6,grok-4.20,3.408,4.717,-1.308,1539.0,0.0,0.0,True
