experiment,aspect,persona_a,persona_b,wilcoxon_stat,p_value,p_holm,sig_holm
mexgen_stroke,faithfulness,doctor,doctor_elaborate,0.0,0.125,1.0,False
mexgen_stroke,faithfulness,doctor,expert_judge,0.0,0.25,1.0,False
mexgen_stroke,faithfulness,doctor,patient,1.0,1.0,1.0,False
mexgen_stroke,faithfulness,doctor,patient_elaborate,2.0,0.5,1.0,False
mexgen_stroke,faithfulness,doctor_elaborate,expert_judge,3.0,0.625,1.0,False
mexgen_stroke,faithfulness,doctor_elaborate,patient,0.0,0.125,1.0,False
mexgen_stroke,faithfulness,doctor_elaborate,patient_elaborate,0.0,0.0312,0.312,False
mexgen_stroke,faithfulness,expert_judge,patient,0.0,0.125,1.0,False
mexgen_stroke,faithfulness,expert_judge,patient_elaborate,0.0,0.0312,0.312,False
mexgen_stroke,faithfulness,patient,patient_elaborate,3.5,0.375,1.0,False
mexgen_stroke,helpfulness,doctor,doctor_elaborate,2.5,0.0098,0.0784,False
mexgen_stroke,helpfulness,doctor,expert_judge,1.5,0.375,1.0,False
mexgen_stroke,helpfulness,doctor,patient,1.5,0.375,1.0,False
mexgen_stroke,helpfulness,doctor,patient_elaborate,0.0,0.0156,0.0936,False
mexgen_stroke,helpfulness,doctor_elaborate,expert_judge,0.0,0.0039,0.039,True
mexgen_stroke,helpfulness,doctor_elaborate,patient,2.5,0.0098,0.0784,False
mexgen_stroke,helpfulness,doctor_elaborate,patient_elaborate,2.0,0.125,0.5,False
mexgen_stroke,helpfulness,expert_judge,patient,1.5,1.0,1.0,False
mexgen_stroke,helpfulness,expert_judge,patient_elaborate,0.0,0.0078,0.0702,False
mexgen_stroke,helpfulness,patient,patient_elaborate,0.0,0.0156,0.0936,False
mexgen_stroke,plausibility,doctor,doctor_elaborate,0.0,0.0156,0.156,False
mexgen_stroke,plausibility,doctor,expert_judge,6.0,0.8125,1.0,False
mexgen_stroke,plausibility,doctor,patient,1.0,1.0,1.0,False
mexgen_stroke,plausibility,doctor,patient_elaborate,0.0,0.0312,0.2184,False
mexgen_stroke,plausibility,doctor_elaborate,expert_judge,0.0,0.0156,0.156,False
mexgen_stroke,plausibility,doctor_elaborate,patient,0.0,0.0156,0.156,False
mexgen_stroke,plausibility,doctor_elaborate,patient_elaborate,0.0,0.5,1.0,False
mexgen_stroke,plausibility,expert_judge,patient,7.5,0.6562,1.0,False
mexgen_stroke,plausibility,expert_judge,patient_elaborate,0.0,0.0312,0.2184,False
mexgen_stroke,plausibility,patient,patient_elaborate,0.0,0.0312,0.2184,False
tokenshap_stroke,helpfulness,doctor,doctor_elaborate,9.0,0.0019,0.0152,True
tokenshap_stroke,helpfulness,doctor,expert_judge,13.5,0.5214,1.0,False
tokenshap_stroke,helpfulness,doctor,patient,6.5,0.7855,1.0,False
tokenshap_stroke,helpfulness,doctor,patient_elaborate,42.0,0.4851,1.0,False
tokenshap_stroke,helpfulness,doctor_elaborate,expert_judge,4.0,0.0008,0.008,True
tokenshap_stroke,helpfulness,doctor_elaborate,patient,4.5,0.0008,0.008,True
tokenshap_stroke,helpfulness,doctor_elaborate,patient_elaborate,8.0,0.0082,0.0574,False
tokenshap_stroke,helpfulness,expert_judge,patient,13.0,0.8631,1.0,False
tokenshap_stroke,helpfulness,expert_judge,patient_elaborate,28.5,0.1228,0.7368,False
tokenshap_stroke,helpfulness,patient,patient_elaborate,53.0,0.2457,1.0,False
tokenshap_stroke,plausibility,doctor,doctor_elaborate,12.0,0.0026,0.0208,True
tokenshap_stroke,plausibility,doctor,expert_judge,3.5,0.2763,0.8289,False
tokenshap_stroke,plausibility,doctor,patient,2.5,0.1573,0.6292,False
tokenshap_stroke,plausibility,doctor,patient_elaborate,26.5,0.3032,0.8289,False
tokenshap_stroke,plausibility,doctor_elaborate,expert_judge,5.0,0.0008,0.008,True
tokenshap_stroke,plausibility,doctor_elaborate,patient,11.0,0.0014,0.0126,True
tokenshap_stroke,plausibility,doctor_elaborate,patient_elaborate,12.0,0.0169,0.1183,False
tokenshap_stroke,plausibility,expert_judge,patient,7.5,1.0,1.0,False
tokenshap_stroke,plausibility,expert_judge,patient_elaborate,10.0,0.0294,0.1764,False
tokenshap_stroke,plausibility,patient,patient_elaborate,28.0,0.0491,0.2455,False
