,Duration,Credit history,Credit amount,Savings account/bonds,Personal status and sex,Age,Job
0,6,critical account/other credits existing,1169,unknown/no savings account,male: single,67,skilled employee/official
1,48,existing credits paid back duly,5951,< 100 DM,female: divorced/separated/married,22,skilled employee/official
4,24,delay in paying off in the past,4870,< 100 DM,male: single,53,skilled employee/official
9,30,critical account/other credits existing,5234,< 100 DM,male: married/widowed,28,management/self-employed/highly qualified
17,30,no credits/all paid back duly,8072,unknown/no savings account,male: single,25,skilled employee/official
29,60,delay in paying off in the past,6836,< 100 DM,male: single,63,skilled employee/official
55,6,all credits at this bank paid back duly,783,unknown/no savings account,male: single,26,unskilled - resident
95,54,no credits/all paid back duly,15945,< 100 DM,male: single,58,skilled employee/official
107,12,existing credits paid back duly,6078,< 100 DM,male: single,32,skilled employee/official
134,60,existing credits paid back duly,10144,100-500 DM,female: divorced/separated/married,21,skilled employee/official
