experiment,aspect,n_instances,n_personas,friedman_chi2,p_value,kendalls_w,p_holm,sig_holm
mexgen_gc,faithfulness,10,3,4.467,0.1072,0.223,0.6432,False
mexgen_gc,helpfulness,10,3,1.077,0.5836,0.054,1.0,False
mexgen_gc,plausibility,10,3,0.636,0.7275,0.032,1.0,False
mexgen_stroke,faithfulness,10,5,14.917,0.0049,0.373,0.0392,True
mexgen_stroke,helpfulness,10,5,24.662,0.0001,0.617,0.0011,True
mexgen_stroke,plausibility,10,5,20.219,0.0005,0.505,0.0045,True
tokenshap_gc,faithfulness,20,3,3.444,0.1787,0.086,0.8935,False
tokenshap_gc,helpfulness,20,3,1.226,0.5418,0.031,1.0,False
tokenshap_gc,plausibility,20,3,8.15,0.017,0.204,0.119,False
tokenshap_stroke,faithfulness,20,5,1.66,0.798,0.021,1.0,False
tokenshap_stroke,helpfulness,20,5,22.563,0.0002,0.282,0.002,True
tokenshap_stroke,plausibility,20,5,25.153,0.0,0.314,0.0,True
