experiment,judge,aspect,n_instances,n_personas,friedman_chi2,p_value,kendalls_w,sig_uncorrected,p_holm,sig_holm
mexgen_gc,claude-sonnet-4.6,faithfulness,10,3,3.0,0.2231,0.15,False,1.0,False
mexgen_gc,claude-sonnet-4.6,helpfulness,10,3,,,,False,,False
mexgen_gc,claude-sonnet-4.6,plausibility,10,3,6.0,0.0498,0.3,True,1.0,False
mexgen_gc,gemini-3.1-pro,faithfulness,10,3,5.2,0.0743,0.26,False,1.0,False
mexgen_gc,gemini-3.1-pro,helpfulness,10,3,,,,False,,False
mexgen_gc,gemini-3.1-pro,plausibility,10,3,3.0,0.2231,0.15,False,1.0,False
mexgen_gc,gpt-5.4,faithfulness,10,3,3.125,0.2096,0.156,False,1.0,False
mexgen_gc,gpt-5.4,helpfulness,10,3,2.0,0.3679,0.1,False,1.0,False
mexgen_gc,gpt-5.4,plausibility,10,3,2.667,0.2636,0.133,False,1.0,False
mexgen_gc,grok-4.20,faithfulness,10,3,6.4,0.0408,0.32,True,1.0,False
mexgen_gc,grok-4.20,helpfulness,10,3,0.154,0.926,0.008,False,1.0,False
mexgen_gc,grok-4.20,plausibility,10,3,1.0,0.6065,0.05,False,1.0,False
mexgen_stroke,claude-sonnet-4.6,faithfulness,10,5,11.2,0.0244,0.28,True,0.6832,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,10,5,19.68,0.0006,0.492,True,0.021,True
mexgen_stroke,claude-sonnet-4.6,plausibility,10,5,23.31,0.0001,0.583,True,0.004,True
mexgen_stroke,gemini-3.1-pro,faithfulness,10,5,2.462,0.6515,0.062,False,1.0,False
mexgen_stroke,gemini-3.1-pro,helpfulness,10,5,22.302,0.0002,0.558,True,0.0072,True
mexgen_stroke,gemini-3.1-pro,plausibility,10,5,13.877,0.0077,0.347,True,0.2387,False
mexgen_stroke,gpt-5.4,faithfulness,10,5,10.0,0.0404,0.25,True,1.0,False
mexgen_stroke,gpt-5.4,helpfulness,10,5,6.769,0.1486,0.169,False,1.0,False
mexgen_stroke,gpt-5.4,plausibility,10,5,11.0,0.0266,0.275,True,0.7182,False
mexgen_stroke,grok-4.20,faithfulness,10,5,8.533,0.0739,0.213,False,1.0,False
mexgen_stroke,grok-4.20,helpfulness,10,5,,,,False,,False
mexgen_stroke,grok-4.20,plausibility,10,5,4.0,0.406,0.1,False,1.0,False
tokenshap_gc,claude-sonnet-4.6,faithfulness,20,3,4.667,0.097,0.117,False,1.0,False
tokenshap_gc,claude-sonnet-4.6,helpfulness,20,3,2.0,0.3679,0.05,False,1.0,False
tokenshap_gc,claude-sonnet-4.6,plausibility,20,3,3.0,0.2231,0.075,False,1.0,False
tokenshap_gc,gemini-3.1-pro,faithfulness,20,3,1.5,0.4724,0.038,False,1.0,False
tokenshap_gc,gemini-3.1-pro,helpfulness,20,3,2.0,0.3679,0.05,False,1.0,False
tokenshap_gc,gemini-3.1-pro,plausibility,20,3,8.909,0.0116,0.223,True,0.348,False
tokenshap_gc,gpt-5.4,faithfulness,20,3,1.143,0.5647,0.029,False,1.0,False
tokenshap_gc,gpt-5.4,helpfulness,20,3,2.6,0.2725,0.065,False,1.0,False
tokenshap_gc,gpt-5.4,plausibility,20,3,10.75,0.0046,0.269,True,0.1472,False
tokenshap_gc,grok-4.20,faithfulness,20,3,2.923,0.2319,0.073,False,1.0,False
tokenshap_gc,grok-4.20,helpfulness,20,3,2.0,0.3679,0.05,False,1.0,False
tokenshap_gc,grok-4.20,plausibility,20,3,,,,False,,False
tokenshap_stroke,claude-sonnet-4.6,faithfulness,20,5,10.857,0.0282,0.136,True,0.7332,False
tokenshap_stroke,claude-sonnet-4.6,helpfulness,20,5,29.426,0.0,0.368,True,0.0,True
tokenshap_stroke,claude-sonnet-4.6,plausibility,20,5,22.833,0.0001,0.285,True,0.004,True
tokenshap_stroke,gemini-3.1-pro,faithfulness,20,5,5.813,0.2136,0.073,False,1.0,False
tokenshap_stroke,gemini-3.1-pro,helpfulness,20,5,34.667,0.0,0.433,True,0.0,True
tokenshap_stroke,gemini-3.1-pro,plausibility,20,5,24.778,0.0001,0.31,True,0.004,True
tokenshap_stroke,gpt-5.4,faithfulness,20,5,11.527,0.0212,0.144,True,0.6148,False
tokenshap_stroke,gpt-5.4,helpfulness,20,5,23.141,0.0001,0.289,True,0.004,True
tokenshap_stroke,gpt-5.4,plausibility,20,5,17.361,0.0016,0.217,True,0.0544,False
tokenshap_stroke,grok-4.20,faithfulness,20,5,16.222,0.0027,0.203,True,0.0891,False
tokenshap_stroke,grok-4.20,helpfulness,20,5,,,,False,,False
tokenshap_stroke,grok-4.20,plausibility,20,5,,,,False,,False
