aspect,judge_a,judge_b,n,spearman_rho,p_value,p_holm,sig_holm
faithfulness,gpt-5.4,gemini-3.1-pro,240,0.445,0.0,0.0,True
faithfulness,gpt-5.4,claude-sonnet-4.6,240,0.521,0.0,0.0,True
faithfulness,gpt-5.4,grok-4.20,240,0.418,0.0,0.0,True
faithfulness,gemini-3.1-pro,claude-sonnet-4.6,240,0.485,0.0,0.0,True
faithfulness,gemini-3.1-pro,grok-4.20,240,0.318,0.0,0.0,True
faithfulness,claude-sonnet-4.6,grok-4.20,240,0.422,0.0,0.0,True
helpfulness,gpt-5.4,gemini-3.1-pro,240,0.518,0.0,0.0,True
helpfulness,gpt-5.4,claude-sonnet-4.6,240,0.64,0.0,0.0,True
helpfulness,gpt-5.4,grok-4.20,240,0.312,0.0,0.0,True
helpfulness,gemini-3.1-pro,claude-sonnet-4.6,240,0.574,0.0,0.0,True
helpfulness,gemini-3.1-pro,grok-4.20,240,0.304,0.0,0.0,True
helpfulness,claude-sonnet-4.6,grok-4.20,240,0.348,0.0,0.0,True
plausibility,gpt-5.4,gemini-3.1-pro,240,0.585,0.0,0.0,True
plausibility,gpt-5.4,claude-sonnet-4.6,240,0.773,0.0,0.0,True
plausibility,gpt-5.4,grok-4.20,240,0.424,0.0,0.0,True
plausibility,gemini-3.1-pro,claude-sonnet-4.6,240,0.589,0.0,0.0,True
plausibility,gemini-3.1-pro,grok-4.20,240,0.319,0.0,0.0,True
plausibility,claude-sonnet-4.6,grok-4.20,240,0.388,0.0,0.0,True
