judge_short,aspect,n,mean,std,floor_share,ceiling_share
claude-sonnet-4.6,faithfulness,240,3.721,0.738,0.021,0.05
claude-sonnet-4.6,helpfulness,240,3.521,0.748,0.008,0.033
claude-sonnet-4.6,plausibility,240,3.408,0.818,0.012,0.012
gemini-3.1-pro,faithfulness,240,4.41,1.222,0.062,0.771
gemini-3.1-pro,helpfulness,240,4.596,0.672,0.008,0.662
gemini-3.1-pro,plausibility,240,4.296,0.738,0.012,0.417
gpt-5.4,faithfulness,240,3.473,0.91,0.029,0.017
gpt-5.4,helpfulness,240,3.192,0.885,0.021,0.0
gpt-5.4,plausibility,240,3.367,0.896,0.021,0.029
grok-4.20,faithfulness,240,3.608,1.905,0.346,0.65
grok-4.20,helpfulness,240,4.796,0.851,0.046,0.938
grok-4.20,plausibility,240,4.717,1.028,0.071,0.929
