,Duration,Credit history,Credit amount,Savings account/bonds,Personal status and sex,Age,Job
0,6,critical account/other credits existing,1169,unknown/no savings account,male: single,67,skilled employee/official
1,48,existing credits paid back duly,5951,< 100 DM,female: divorced/separated/married,22,skilled employee/official
4,24,delay in paying off in the past,4870,< 100 DM,male: single,53,skilled employee/official
9,30,critical account/other credits existing,5234,< 100 DM,male: married/widowed,28,management/self-employed/highly qualified
17,30,no credits/all paid back duly,8072,unknown/no savings account,male: single,25,skilled employee/official
29,60,delay in paying off in the past,6836,< 100 DM,male: single,63,skilled employee/official
55,6,all credits at this bank paid back duly,783,unknown/no savings account,male: single,26,unskilled - resident
95,54,no credits/all paid back duly,15945,< 100 DM,male: single,58,skilled employee/official
107,12,existing credits paid back duly,6078,< 100 DM,male: single,32,skilled employee/official
134,60,existing credits paid back duly,10144,100-500 DM,female: divorced/separated/married,21,skilled employee/official
186,9,all credits at this bank paid back duly,5129,< 100 DM,female: divorced/separated/married,74,management/self-employed/highly qualified
226,48,existing credits paid back duly,10961,>= 1000 DM,male: single,27,skilled employee/official
236,6,existing credits paid back duly,14555,unknown/no savings account,male: single,23,unemployed/unskilled - non-resident
300,6,existing credits paid back duly,672,< 100 DM,female: divorced/separated/married,54,unemployed/unskilled - non-resident
430,5,existing credits paid back duly,3448,< 100 DM,male: single,74,unskilled - resident
615,48,no credits/all paid back duly,12204,unknown/no savings account,male: single,48,management/self-employed/highly qualified
671,36,existing credits paid back duly,5742,100-500 DM,male: single,31,skilled employee/official
887,48,existing credits paid back duly,15672,< 100 DM,male: single,23,skilled employee/official
915,48,no credits/all paid back duly,18424,< 100 DM,female: divorced/separated/married,32,management/self-employed/highly qualified
999,45,critical account/other credits existing,4576,100-500 DM,male: single,27,skilled employee/official
