experiment,judge,aspect,persona_a,persona_b,wilcoxon_stat,p_value,p_holm,sig_holm
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor,doctor_elaborate,0.0,0.0156,0.1404,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor,expert_judge,5.0,1.0,1.0,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor,patient,0.0,0.5,1.0,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor,patient_elaborate,3.0,0.375,1.0,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor_elaborate,expert_judge,0.0,0.0156,0.1404,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor_elaborate,patient,0.0,0.0039,0.039,True
mexgen_stroke,claude-sonnet-4.6,helpfulness,doctor_elaborate,patient_elaborate,0.0,0.125,0.75,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,expert_judge,patient,0.0,0.5,1.0,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,expert_judge,patient_elaborate,3.0,0.375,1.0,False
mexgen_stroke,claude-sonnet-4.6,helpfulness,patient,patient_elaborate,0.0,0.0625,0.4375,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor,doctor_elaborate,0.0,0.0156,0.156,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor,expert_judge,0.0,1.0,1.0,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor,patient,0.0,1.0,1.0,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor,patient_elaborate,0.0,0.0156,0.156,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor_elaborate,expert_judge,0.0,0.0156,0.156,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor_elaborate,patient,0.0,0.0312,0.1872,False
mexgen_stroke,claude-sonnet-4.6,plausibility,doctor_elaborate,patient_elaborate,6.0,1.0,1.0,False
mexgen_stroke,claude-sonnet-4.6,plausibility,expert_judge,patient,0.0,1.0,1.0,False
mexgen_stroke,claude-sonnet-4.6,plausibility,expert_judge,patient_elaborate,0.0,0.0156,0.156,False
mexgen_stroke,claude-sonnet-4.6,plausibility,patient,patient_elaborate,0.0,0.0312,0.1872,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor,doctor_elaborate,0.0,0.0156,0.156,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor,expert_judge,0.0,1.0,1.0,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor,patient,1.5,1.0,1.0,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor,patient_elaborate,0.0,0.0312,0.2496,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor_elaborate,expert_judge,0.0,0.0312,0.2496,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor_elaborate,patient,0.0,0.0156,0.156,False
mexgen_stroke,gemini-3.1-pro,helpfulness,doctor_elaborate,patient_elaborate,0.0,0.5,1.0,False
mexgen_stroke,gemini-3.1-pro,helpfulness,expert_judge,patient,0.0,1.0,1.0,False
mexgen_stroke,gemini-3.1-pro,helpfulness,expert_judge,patient_elaborate,0.0,0.0625,0.3125,False
